연도,번호,구분,종목,업종,증권사,수요예측_경쟁률,밴드상단_초과비율,일반청약_경쟁률,의무확약비율_전,의무확약비율_후,유통주식수_비율,유통주식_비율_후,시가총액_억원,환매청구권,특이점,공모가,시초가,시초가_수익률,첫날_종가,종가_수익률,평균_매도가,수익률,수익금,세금_고려
2025,11,일반,에이유브랜즈,의류,한국투자,816.22,,969.32,0.0321,,0.1412,,2265.0,,,16000.0,28000.0,0.75,18050.0,-0.3553571428571428,,,,
2025,12,일반,한국피아이엠,부품?,IBK,1214.55,,1384.48,0.0555,0.0896,0.4457,0.431547619047619,672.0,,,11200.0,15370.0,0.3723214285714286,16100.0,0.0474951203643461,,,,
2025,13,일반,쎄크,의료장비,신영,1232.54,,933.6,0.0376,0.1781,0.3678,0.3516819571865443,1308.0,,,15000.0,20200.0,0.3466666666666667,13680.0,-0.3227722772277228,,,,
2025,14,일반,나우로보틱스,로봇,대신,1394.96,,1636.61,0.1359,0.3408,0.2735,0.2321219226260258,853.0,,,6800.0,17000.0,1.5,15400.0,-0.0941176470588235,17170.0,1.525,103105.0,
2025,15,일반,원일티엔아이,"LNG, 수소, 원자력",NH투자,1308.07,,1312.21,0.2334,0.5069,0.3094,0.2449160035366931,1131.0,,,13500.0,23600.0,0.7481481481481481,35900.0,0.5211864406779662,27000.0,1.0,67298.0,
2025,16,일반,오가노이드사이언스,의료,한국투자,1066.9,,858.55,0.0633,,0.2759,,1366.0,,,21000.0,25400.0,0.2095238095238095,32000.0,0.2598425196850393,,,,
2025,17,일반,이뮨온시아,의약,한국투자,897.45,,913.24,0.0822,0.4034,0.294,0.2560882800608828,2628.0,,,3600.0,5600.0,0.5555555555555556,7500.0,0.3392857142857143,,,,
2025,18,일반,바이오비쥬,화장품,대신,1094.25,,1133.52,0.1248,0.304,0.2817,0.2337472607742878,1369.0,,,9100.0,23000.0,1.5274725274725274,18480.0,-0.1965217391304347,24963.0,1.7431868131868131,299755.0,
2025,19,일반,달바글로벌,화장품,미래에셋,1140.88,,1112.03,0.2423,0.4074,0.3273,0.3174206448387903,8002.0,,,66300.0,118000.0,0.779788838612368,110100.0,-0.0669491525423728,121100.0,0.8265460030165912,109728.0,
2025,20,일반,인투셀,의약,미래에셋,1151.5,,2268.87,0.1196,0.292,0.3634,0.3444444444444444,2520.0,,,17000.0,37100.0,1.1823529411764706,33200.0,-0.105121293800539,36100.0,1.123529411764706,133312.0,
2025,21,일반,키스트론,케이블용 와이어,신한투자,1140.95,,2165.52,0.1495,0.2861,0.353,0.2772585669781931,642.0,,,3600.0,10670.0,1.9638888888888888,8210.0,-0.2305529522024367,10670.0,1.9638888888888888,203986.0,
2025,22,일반,링크솔루션,3D 프린터,신영증권,1159.43,,999.59,0.0183,0.0627,0.3634,0.3561964146531566,1283.0,,,23000.0,30000.0,0.3043478260869565,26250.0,-0.125,,,,
2025,23,일반,지씨지놈,유전체 검사 서비스,삼성증권,547.47,,484.09,0.0104,0.0143,0.425,0.42327829238824,2483.0,,,10500.0,14300.0,0.3619047619047619,11100.0,-0.2237762237762237,,,,
2025,24,일반,지에프씨생명과학,화장품소재,대신,1443.69,,2161.33,0.1388,0.3382,0.4134,0.3754693366708385,799.0,,,15300.0,29750.0,0.9444444444444444,32550.0,0.0941176470588235,27950.0,0.826797385620915,50213.0,
2025,25,일반,뉴엔에이아이,빅데이터,"NH, 신한",995.61,,1541.51,0.1718,0.4403,0.2799,0.1998497370398196,1331.0,,,15000.0,36900.0,1.46,38400.0,0.040650406504065,37450.0,1.4966666666666666,134363.0,
2025,26,일반,싸이닉솔루션,반도체 디자인솔루션,대신,1289.62,,2148.34,0.0791,0.235,0.323,0.29702434625789,1109.0,,,4700.0,10080.0,1.1446808510638298,7960.0,-0.2103174603174603,10190.0,1.168085106382979,87275.0,
2025,27,일반,아우토크립트,사이버보안,대신,995.338,,,0.0528,,0.359,,2105.0,유,환매청구권,22000.0,31750.0,0.4431818181818182,30850.0,-0.0283464566929133,,,,
2025,28,일반,도우인시스,폴더블utg부품,키움,785.41,,,0.0358,,0.2657,,3443.0,,,32000.0,54400.0,0.7,44350.0,-0.1847426470588235,,,,
2025,29,일반,뉴로핏,의료ai,미래에셋,1087.6,,1922.75,0.1208,0.283,0.3591,0.323038605230386,1606.0,,,14000.0,28600.0,1.042857142857143,20300.0,-0.2902097902097902,28600.0,1.042857142857143,160118.0,
2025,30,일반,엔알비,건설모듈러,"nh, kb",800.83,,577.49,0.0077,0.021,0.3124,0.3093108169785486,2191.0,,,21000.0,21300.0,0.0142857142857142,16660.0,-0.2178403755868544,,,,
2025,31,일반,프로티나,의료ai,한국투자,1199.2,,1797.61,0.0811,0.4569,0.3149,0.268389662027833,1509.0,,,14000.0,23750.0,0.6964285714285714,17550.0,-0.2610526315789473,23350.0,0.6678571428571428,65200.0,
2025,32,일반,대한조선,조선,"KB, nh",275.66,,238.1,0.5686,0.8008,0.2202,0.1263,19263.0,,,50000.0,89100.0,0.782,92400.0,0.037037037037037,97256.125,0.9451225,1507404.0,
2025,33,일반,아이티켐,화학유기소재,KB증권,1157.98,,1880.77,0.2383,0.5358,0.1544,0.1076,2025.0,,,16100.0,38800.0,1.409937888198758,31050.0,-0.1997422680412371,32450.0,1.015527950310559,81507.0,
2025,34,일반,삼양컴텍,방산,"신한, nh",565.55,,927.97,0.4837,0.7936,0.3714,0.1719685039370078,3175.0,,,7700.0,16010.0,1.0792207792207793,16640.0,0.0393504059962523,16040.0,1.0831168831168831,447431.0,
2025,35,일반,지투지바이오,제약 플랫폼,미래에셋,810.6,,470.11,0.1564,0.5739,0.3541,0.2832369942196532,3114.0,,,58000.0,86500.0,0.4913793103448275,93800.0,0.084393063583815,,,,
2025,36,일반,에스엔시스,조선기자재,신한,739.17,,1472.48,0.2737,0.5392,0.379,0.2974214058636524,2831.0,,,30000.0,51000.0,0.7,45000.0,-0.1176470588235294,50900.0,0.6966666666666667,165820.0,
2025,37,일반,제이피아이헬스케어,의료장비,키움,942.71,,1154.54,0.0303,0.066,0.3095,0.2938295788442703,1021.0,,,20000.0,28000.0,0.4,21700.0,-0.225,28000.0,0.4,55666.0,
2025,38,일반,한라캐스트,정밀부품,대신,832.887,,972.37,0.0582,0.3331,0.3776,0.3262511803588291,2118.0,,,5800.0,7840.0,0.3517241379310344,5920.0,-0.2448979591836734,8223.0,0.4177586206896552,81430.0,
2025,39,일반,그래피,치과교정,"kb, 신한",182.15,,39.4,,,0.3775,0.3822463768115942,1656.0,,,15000.0,11600.0,-0.2266666666666666,11260.0,-0.0293103448275862,,,,
2025,40,일반,에스투더블유,ai데이터,대신,1145.4,,1972.62,0.2286,0.7264,0.3107,0.2319255547602004,1397.0,,,13200.0,26800.0,1.0303030303030305,23950.0,-0.1063432835820895,26000.0,0.9696969696969696,101678.0,
2025,41,일반,명인제약,제약,KB증권,488.95,,587.0,0.6208,0.8974,0.2153,0.1126,8468.0,,,58000.0,119800.0,1.0655172413793104,121900.0,0.0175292153589315,119909.0,1.067396551724138,678972.0,
2025,42,일반,노타,AI플랫폼,미래에셋,1058.2,,2781.5,0.597,0.912,0.2912,0.1963,1925.0,,,9100.0,22500.0,1.4725274725274726,31000.0,0.3777777777777777,23000.0,1.5274725274725274,180242.0,
2025,43,일반,이노테크,검사장비,KB증권,1072.41,,2427.23,0.5603,0.894,0.325,0.1919,1305.0,,,14700.0,50300.0,2.421768707482993,58800.0,0.1689860834990059,50500.0,2.435374149659864,142897.0,
2025,44,일반,큐리오시스,바이오,키움,1031.39,,2203.97,0.6757,0.9789,0.3296,0.2192,1673.0,,,22000.0,88000.0,3.0,88000.0,0.0,92714.28571428572,3.214285714285714,493937.0,
